Date,avg_sentiment_all_news,avg_sentiment_top_news
3/20/2011,-0.143312942,-0.256589996
7/22/2012,-0.088820387,-0.065478129
4/8/2012,-0.08058983,-0.27195
8/18/2012,-0.057559242,-0.255066662
4/21/2011,-0.178666663,-0.316129993
9/30/2019,-0.125616212,-0.101299764
7/3/2018,-0.113109127,-0.04909133
6/10/2018,-0.063432307,-0.254784
7/8/2018,-0.045160688,-0.071483872
11/17/2018,-0.101299764,-0.193234999
6/23/2015,-0.120365311,-0.197784999
12/28/2009,-0.103836641,-0.303854996
12/10/2009,-0.023543702,0.003295001
12/30/2009,-0.017061111,-0.03725
6/2/2008,-0.04909133,-0.196310001
4/30/2009,-0.15775874,-0.259789996
3/24/2009,-0.057742285,-0.079004349
10/13/2013,-0.116713262,-0.035334995
2/4/2015,-0.181048428,-0.260042854
10/5/2014,-0.163187436,-0.044169572
1/3/2014,-0.099504651,-0.292975996
1/3/2011,-0.100265529,-0.085332001
11/27/2011,-0.054385488,-0.304580954
1/20/2012,-0.053420383,-0.297129999
10/22/2019,-0.094214321,-0.094214321
7/18/2018,-0.053199246,-0.04125
5/4/2019,-0.133732744,-0.393494996
2/23/2018,-0.155284887,-0.165720002
10/27/2017,-0.043043031,-0.139240216
8/6/2016,-0.094780761,-0.097384997
5/6/2015,-0.106211916,-0.225714999
10/20/2016,-0.042776196,-0.070685
9/18/2010,-0.142728245,-0.243419041
4/19/2008,-0.111513514,-0.197985003
9/20/2009,-0.111401459,-0.086265
6/27/2009,-0.055549247,-0.15270769
4/6/2008,-0.139240216,-0.170840002
3/16/2014,-0.131908005,-0.214889999
2/7/2015,-0.130739387,-0.204040738
9/10/2014,-0.116904576,-0.166664999
5/10/2013,-0.063590468,-0.283599995
8/8/2013,-0.093957951,-0.281665001
3/20/2013,-0.052520137,-0.188470002
2/6/2013,-0.063638441,-0.265474999
2/24/2011,-0.097660906,-0.047174997
1/25/2012,-0.022396402,-0.09868
5/14/2012,-0.004548933,-0.075365005
4/22/2012,-0.018470619,-0.074844997
9/14/2019,-0.155396791,-0.12002
7/25/2019,-0.170449657,-0.125117851
6/13/2019,-0.134738415,-0.133653373
12/6/2018,-0.125117851,-0.137096892
1/22/2019,-0.133653373,-0.074094877
10/15/2018,-0.137096892,-0.201642859
9/11/2018,-0.109182499,-0.126971427
10/1/2018,-0.074094877,-0.145862686
10/5/2017,-0.111471383,-0.301128571
3/17/2017,-0.049670628,-0.199332
12/6/2015,-0.158547971,-0.211685711
1/10/2017,-0.091452216,-0.192485
6/15/2010,-0.165504059,-0.295334785
6/5/2008,-0.147768931,-0.246384994
6/20/2009,-0.140161159,-0.044830003
3/25/2009,-0.088546542,-0.213652381
8/21/2008,-0.134613966,-0.147899996
3/27/2008,-0.137630657,-0.17434
5/7/2016,-0.108111219,0.032285004
2/1/2015,-0.100004459,-0.287354998
